,id,datetime,expt_num,sitename,type,sensor_idx,value
94,249,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,4,711.25
95,250,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,5,644.167
96,251,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,6,1639.17
97,252,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,7,975.417
98,253,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,8,977.917
99,269,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,0,731.25
100,270,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,1,521.667
101,271,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,2,77.9167
102,272,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,3,739.167
103,273,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,4,697.917
104,274,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,5,605.833
105,275,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,6,1604.58
106,276,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,7,941.667
107,277,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,8,950.417
108,293,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,0,676.667
109,294,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,1,506.25
110,295,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,2,72.5
111,296,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,3,732.5
112,297,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,4,686.667
113,298,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,5,574.583
114,299,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,6,1583.33
115,300,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,7,893.75
116,301,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,8,937.917
117,317,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,0,701.25
118,318,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,1,520.0
119,319,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,2,80.0
120,320,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,3,744.167
121,321,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,4,691.667
122,322,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,5,583.75
123,323,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,6,1600.0
124,324,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,7,936.667
125,325,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,8,958.333
126,341,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,0,685.0
127,342,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,1,530.833
128,343,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,2,84.5833
129,344,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,3,748.333
