,datetime,expt_num,type,value
333,2023-03-27,0,pred_flower_count_mean,32.4
330,2023-03-27,0,pred_leaf_count_median,361.0
331,2023-03-27,0,pred_leaf_count_mean,365.4
332,2023-03-27,0,pred_flower_count_median,34.0
336,2023-03-28,0,pred_leaf_count_median,357.0
337,2023-03-28,0,pred_leaf_count_mean,358.26666666666665
338,2023-03-28,0,pred_flower_count_median,22.0
339,2023-03-28,0,pred_flower_count_mean,22.266666666666666
340,2023-03-28,0,pred_fruit_count_median,0.0
341,2023-03-28,0,pred_fruit_count_mean,0.0
347,2023-03-29,0,pred_fruit_count_mean,0.0
345,2023-03-29,0,pred_flower_count_mean,23.2
346,2023-03-29,0,pred_fruit_count_median,0.0
343,2023-03-29,0,pred_leaf_count_mean,347.26666666666665
342,2023-03-29,0,pred_leaf_count_median,340.0
344,2023-03-29,0,pred_flower_count_median,22.0
348,2023-03-30,0,pred_leaf_count_median,356.0
349,2023-03-30,0,pred_leaf_count_mean,350.0
350,2023-03-30,0,pred_flower_count_median,21.0
351,2023-03-30,0,pred_flower_count_mean,21.333333333333332
352,2023-03-30,0,pred_fruit_count_median,0.0
353,2023-03-30,0,pred_fruit_count_mean,0.0
358,2023-03-31,0,pred_fruit_count_median,0.0
354,2023-03-31,0,pred_leaf_count_median,347.0
355,2023-03-31,0,pred_leaf_count_mean,347.35714285714283
356,2023-03-31,0,pred_flower_count_median,19.5
357,2023-03-31,0,pred_flower_count_mean,20.928571428571427
359,2023-03-31,0,pred_fruit_count_mean,0.0
364,2023-04-01,0,pred_fruit_count_median,0.0
365,2023-04-01,0,pred_fruit_count_mean,0.0
363,2023-04-01,0,pred_flower_count_mean,21.714285714285715
360,2023-04-01,0,pred_leaf_count_median,347.0
361,2023-04-01,0,pred_leaf_count_mean,349.85714285714283
362,2023-04-01,0,pred_flower_count_median,21.5
366,2023-04-02,0,pred_leaf_count_median,342.0
367,2023-04-02,0,pred_leaf_count_mean,345.26666666666665
368,2023-04-02,0,pred_flower_count_median,19.0
369,2023-04-02,0,pred_flower_count_mean,20.333333333333332
370,2023-04-02,0,pred_fruit_count_median,0.0
371,2023-04-02,0,pred_fruit_count_mean,0.0
372,2023-04-03,0,pred_leaf_count_median,368.0
373,2023-04-03,0,pred_leaf_count_mean,371.57894736842104
374,2023-04-03,0,pred_flower_count_median,33.0
375,2023-04-03,0,pred_flower_count_mean,31.94736842105263
376,2023-04-03,0,pred_fruit_count_median,0.0
377,2023-04-03,0,pred_fruit_count_mean,0.0
383,2023-04-04,0,pred_fruit_count_mean,0.0
382,2023-04-04,0,pred_fruit_count_median,0.0
381,2023-04-04,0,pred_flower_count_mean,27.4375
379,2023-04-04,0,pred_leaf_count_mean,373.625
378,2023-04-04,0,pred_leaf_count_median,379.0
380,2023-04-04,0,pred_flower_count_median,26.5
389,2023-04-05,0,pred_fruit_count_mean,0.0
384,2023-04-05,0,pred_leaf_count_median,348.0
385,2023-04-05,0,pred_leaf_count_mean,353.0
386,2023-04-05,0,pred_flower_count_median,33.0
387,2023-04-05,0,pred_flower_count_mean,33.857142857142854
388,2023-04-05,0,pred_fruit_count_median,0.0
390,2023-04-06,0,pred_leaf_count_median,359.0
391,2023-04-06,0,pred_leaf_count_mean,359.5
392,2023-04-06,0,pred_flower_count_median,33.0
393,2023-04-06,0,pred_flower_count_mean,32.5
394,2023-04-06,0,pred_fruit_count_median,0.0
395,2023-04-06,0,pred_fruit_count_mean,0.0
400,2023-04-07,0,pred_fruit_count_median,0.0
401,2023-04-07,0,pred_fruit_count_mean,0.0
399,2023-04-07,0,pred_flower_count_mean,32.0
396,2023-04-07,0,pred_leaf_count_median,355.0
397,2023-04-07,0,pred_leaf_count_mean,355.0
398,2023-04-07,0,pred_flower_count_median,32.0
402,2023-04-08,0,pred_leaf_count_median,354.0
403,2023-04-08,0,pred_leaf_count_mean,353.0
404,2023-04-08,0,pred_flower_count_median,29.0
405,2023-04-08,0,pred_flower_count_mean,30.666666666666668
406,2023-04-08,0,pred_fruit_count_median,0.0
407,2023-04-08,0,pred_fruit_count_mean,0.0
413,2023-04-09,0,pred_fruit_count_mean,0.0
412,2023-04-09,0,pred_fruit_count_median,0.0
411,2023-04-09,0,pred_flower_count_mean,30.333333333333332
408,2023-04-09,0,pred_leaf_count_median,342.0
409,2023-04-09,0,pred_leaf_count_mean,346.2
410,2023-04-09,0,pred_flower_count_median,28.0
418,2023-04-10,0,pred_fruit_count_median,0.0
419,2023-04-10,0,pred_fruit_count_mean,0.0
417,2023-04-10,0,pred_flower_count_mean,34.07142857142857
414,2023-04-10,0,pred_leaf_count_median,341.5
415,2023-04-10,0,pred_leaf_count_mean,343.2857142857143
416,2023-04-10,0,pred_flower_count_median,35.0
420,2023-04-11,0,pred_leaf_count_median,360.0
421,2023-04-11,0,pred_leaf_count_mean,361.3333333333333
422,2023-04-11,0,pred_flower_count_median,35.0
423,2023-04-11,0,pred_flower_count_mean,34.333333333333336
424,2023-04-11,0,pred_fruit_count_median,0.0
425,2023-04-11,0,pred_fruit_count_mean,0.0
431,2023-04-12,0,pred_fruit_count_mean,0.0
430,2023-04-12,0,pred_fruit_count_median,0.0
429,2023-04-12,0,pred_flower_count_mean,34.5
427,2023-04-12,0,pred_leaf_count_mean,357.875
426,2023-04-12,0,pred_leaf_count_median,348.0
428,2023-04-12,0,pred_flower_count_median,34.0
432,2023-04-13,0,pred_leaf_count_median,346.5
433,2023-04-13,0,pred_leaf_count_mean,351.5
434,2023-04-13,0,pred_flower_count_median,32.5
435,2023-04-13,0,pred_flower_count_mean,31.9
436,2023-04-13,0,pred_fruit_count_median,0.0
437,2023-04-13,0,pred_fruit_count_mean,0.0
442,2023-04-14,0,pred_fruit_count_median,0.0
441,2023-04-14,0,pred_flower_count_mean,29.46153846153846
443,2023-04-14,0,pred_fruit_count_mean,0.0
439,2023-04-14,0,pred_leaf_count_mean,355.38461538461536
438,2023-04-14,0,pred_leaf_count_median,356.0
440,2023-04-14,0,pred_flower_count_median,29.0
448,2023-04-15,0,pred_fruit_count_median,0.0
447,2023-04-15,0,pred_flower_count_mean,31.25
449,2023-04-15,0,pred_fruit_count_mean,0.0
445,2023-04-15,0,pred_leaf_count_mean,348.375
444,2023-04-15,0,pred_leaf_count_median,349.0
446,2023-04-15,0,pred_flower_count_median,29.5
450,2023-04-16,0,pred_leaf_count_median,353.0
451,2023-04-16,0,pred_leaf_count_mean,354.5
452,2023-04-16,0,pred_flower_count_median,32.5
453,2023-04-16,0,pred_flower_count_mean,35.125
454,2023-04-16,0,pred_fruit_count_median,0.0
455,2023-04-16,0,pred_fruit_count_mean,0.0
461,2023-04-17,0,pred_fruit_count_mean,0.0
459,2023-04-17,0,pred_flower_count_mean,35.4
460,2023-04-17,0,pred_fruit_count_median,0.0
457,2023-04-17,0,pred_leaf_count_mean,350.73333333333335
456,2023-04-17,0,pred_leaf_count_median,351.0
458,2023-04-17,0,pred_flower_count_median,35.0
466,2023-04-18,0,pred_fruit_count_median,0.0
465,2023-04-18,0,pred_flower_count_mean,35.714285714285715
467,2023-04-18,0,pred_fruit_count_mean,0.0
463,2023-04-18,0,pred_leaf_count_mean,348.92857142857144
462,2023-04-18,0,pred_leaf_count_median,345.5
464,2023-04-18,0,pred_flower_count_median,34.5
468,2023-04-19,0,pred_leaf_count_median,349.0
469,2023-04-19,0,pred_leaf_count_mean,348.375
470,2023-04-19,0,pred_flower_count_median,32.5
471,2023-04-19,0,pred_flower_count_mean,30.8125
472,2023-04-19,0,pred_fruit_count_median,0.0
473,2023-04-19,0,pred_fruit_count_mean,0.0
479,2023-04-20,0,pred_fruit_count_mean,0.0
478,2023-04-20,0,pred_fruit_count_median,0.0
477,2023-04-20,0,pred_flower_count_mean,15.428571428571429
475,2023-04-20,0,pred_leaf_count_mean,329.7142857142857
474,2023-04-20,0,pred_leaf_count_median,329.5
476,2023-04-20,0,pred_flower_count_median,15.0
480,2023-04-21,0,pred_leaf_count_median,331.0
481,2023-04-21,0,pred_leaf_count_mean,333.90909090909093
482,2023-04-21,0,pred_flower_count_median,26.0
483,2023-04-21,0,pred_flower_count_mean,26.181818181818183
484,2023-04-21,0,pred_fruit_count_median,0.0
485,2023-04-21,0,pred_fruit_count_mean,0.0
490,2023-04-22,0,pred_fruit_count_median,0.0
486,2023-04-22,0,pred_leaf_count_median,347.5
487,2023-04-22,0,pred_leaf_count_mean,315.75
488,2023-04-22,0,pred_flower_count_median,29.5
489,2023-04-22,0,pred_flower_count_mean,26.25
491,2023-04-22,0,pred_fruit_count_mean,0.0
