,datetime,expt_num,type,index,value
230,2023-02-24,0,dli,5,0.339795
231,2023-02-24,0,dli,6,0.0
232,2023-02-24,0,dli,7,0.0
233,2023-02-24,0,dli,8,0.0
234,2023-02-25,0,dli,0,0.0
235,2023-02-25,0,dli,1,1.62169
236,2023-02-25,0,dli,2,0.996569
237,2023-02-25,0,dli,3,4.31129
238,2023-02-25,0,dli,4,2.43324
239,2023-02-25,0,dli,5,1.60137
240,2023-02-25,0,dli,6,0.0
241,2023-02-25,0,dli,7,0.0
242,2023-02-25,0,dli,8,0.0
243,2023-02-26,0,dli,0,0.0
244,2023-02-26,0,dli,1,1.58213
245,2023-02-26,0,dli,2,0.743107
246,2023-02-26,0,dli,3,4.25803
247,2023-02-26,0,dli,4,2.38862
248,2023-02-26,0,dli,5,1.5743
249,2023-02-26,0,dli,6,0.0
250,2023-02-26,0,dli,7,0.0
251,2023-02-26,0,dli,8,0.0
252,2023-02-27,0,dli,0,0.0
253,2023-02-27,0,dli,1,1.72895
254,2023-02-27,0,dli,2,0.754178
255,2023-02-27,0,dli,3,4.34882
256,2023-02-27,0,dli,4,2.54185
257,2023-02-27,0,dli,5,1.67717
258,2023-02-27,0,dli,6,0.0
259,2023-02-27,0,dli,7,0.0
260,2023-02-27,0,dli,8,0.0
261,2023-02-28,0,dli,0,0.0
262,2023-02-28,0,dli,1,1.74022
263,2023-02-28,0,dli,2,0.71712
264,2023-02-28,0,dli,3,4.32648
265,2023-02-28,0,dli,4,2.62096
266,2023-02-28,0,dli,5,1.75419
267,2023-02-28,0,dli,6,0.0
268,2023-02-28,0,dli,7,0.0
269,2023-02-28,0,dli,8,0.0
270,2023-03-01,0,dli,0,0.0
271,2023-03-01,0,dli,1,1.68581
272,2023-03-01,0,dli,2,0.689512
273,2023-03-01,0,dli,3,4.21706
274,2023-03-01,0,dli,4,2.35352
275,2023-03-01,0,dli,5,1.58963
276,2023-03-01,0,dli,6,0.0
277,2023-03-01,0,dli,7,0.0
278,2023-03-01,0,dli,8,0.0
279,2023-03-02,0,dli,0,0.0
280,2023-03-02,0,dli,1,0.602438
281,2023-03-02,0,dli,2,0.280057
282,2023-03-02,0,dli,3,1.39347
283,2023-03-02,0,dli,4,0.74088
284,2023-03-02,0,dli,5,0.51651
285,2023-03-02,0,dli,6,0.0
286,2023-03-02,0,dli,7,0.0
287,2023-03-02,0,dli,8,0.0
288,2023-03-18,0,dli,0,1.48014
289,2023-03-18,0,dli,1,0.754245
290,2023-03-18,0,dli,2,0.826875
291,2023-03-18,0,dli,3,0.0
292,2023-03-18,0,dli,4,0.0
293,2023-03-18,0,dli,5,0.0
294,2023-03-18,0,dli,6,0.0
295,2023-03-18,0,dli,7,0.0
296,2023-03-18,0,dli,8,0.0
297,2023-03-19,0,dli,0,4.82468
298,2023-03-19,0,dli,1,3.21334
299,2023-03-19,0,dli,2,3.09836
300,2023-03-19,0,dli,3,0.0
301,2023-03-19,0,dli,4,0.0
302,2023-03-19,0,dli,5,0.0
303,2023-03-19,0,dli,6,0.0
304,2023-03-19,0,dli,7,0.0
305,2023-03-19,0,dli,8,0.0
306,2023-03-20,0,dli,0,4.3335
307,2023-03-20,0,dli,1,2.8948
308,2023-03-20,0,dli,2,3.42306
309,2023-03-20,0,dli,3,0.0
310,2023-03-20,0,dli,4,0.0
311,2023-03-20,0,dli,5,0.0
312,2023-03-20,0,dli,6,0.0
313,2023-03-20,0,dli,7,0.0
